1;4115
2;1313
3;1080
4;2231
5;2540
6;3063
7;3276
8;2410
9;2324
10;3094
11;6204
12;10620
13;7050
14;2733
15;5865
16;5380
17;8470
18;3983
19;2864
20;4383
21;3213
22;1965
23;2483
25;5173
26;1722
27;1673
28;16002
29;4560
30;2299
24;2823
28;15780
1;2795
2;2592
3;8073
4;3187
1;2853
2;1380
3;3670
28;59748 -8
28;16667 -5
28;16120 -3 

