§Õ≈—¡πÏ1,st,§Õ≈—¡πÏ3,§Õ≈—¡πÏ4,§Õ≈—¡πÏ5,§Õ≈—¡πÏ6,§Õ≈—¡πÏ7
5,deadloop,131656768,0.008968599,32914192,0.00224215,22
5,livelock,166175070,0.009781499,41543768,0.002445375,41
5,deadloop,131697696,0.0080976,32924424,0.0020244,24
5,normal,330810048,0.0156434,41351256,0.001955425,4
5,normal,124479656,0.0092445,41493219,0.0030815,30
5,normal,330809792,0.0215586,41351224,0.002694825,4
5,normal,165634266,0.0113818,41408566,0.00284545,16
5,normal,165609694,0.0113785,41402424,0.002844625,16
5,livelock,127166602,0.0182803,42388867,0.006093433,155
5,normal,248852820,0.0183848,41475470,0.003064133,24
5,deadloop,33489680,0.0032898,33489680,0.0032898,71
5,livelock,208353718,0.0143141,41670744,0.00286282,67
5,normal,165626048,0.0108482,41406512,0.00271205,16
5,normal,166256832,0.0128337,41564208,0.003208425,35
5,normal,165609696,0.012356,41402424,0.003089,15
5,livelock,125413546,0.0111996,41804515,0.0037332,70
5,normal,330809792,0.022373,41351224,0.002796625,4
5,deadloop,32858896,0.0020487,32858896,0.0020487,20
5,normal,165642468,0.011480001,41410617,0.00287,19
5,livelock,83275890,0.0068285,41637945,0.00341425,48
5,normal,289597704,0.0193627,41371101,0.0027661,7
5,deadloop,98617648,0.0064224,32872549,0.0021408,21
5,normal,124479754,0.007142,41493251,0.002380667,30
5,deadloop,32908048,0.0021217,32908048,0.0021217,21
5,normal,124479754,0.0069274,41493251,0.002309133,30
5,livelock,41408570,0.0032891,41408570,0.0032891,21
5,normal,248828240,0.017817698,41471373,0.002969616,24
5,normal,207182104,0.0144471,41436421,0.00288942,18
5,normal,165642460,0.011439499,41410615,0.002859875,17
5,livelock,82940014,0.0063222,41470007,0.0031611,35
5,normal,207550742,0.0155476,41510148,0.00310952,27
5,normal,124807336,0.010064701,41602445,0.0033549,40
5,deadloop,98863408,0.0066544,32954469,0.002218134,28
5,livelock,41408600,0.0021383,41408600,0.0021383,22
5,normal,166207708,0.0127239,41551927,0.003180975,42
5,livelock,126298250,0.0139891,42099417,0.004663033,113
5,livelock,41416760,0.0028403,41416760,0.0028403,23
5,normal,331399356,0.0228723,41424920,0.002859038,18
5,deadloop,98773264,0.0058942,32924421,0.001964733,24
5,deadloop,32883472,0.0021595,32883472,0.0021595,21
5,normal,165601504,0.0113965,41400376,0.002849125,15
5,normal,248508718,0.0175721,41418120,0.002928683,16
5,normal,330809792,0.021869399,41351224,0.002733675,4
5,deadloop,65750560,0.0044586,32875280,0.0022293,25
5,livelock,166887648,0.0143329,41721912,0.003583225,77
5,normal,124807336,0.0099672,41602445,0.0033224,40
5,normal,207296788,0.014695499,41459358,0.0029391,22
5,normal,496362156,0.030377598,41363513,0.002531467,7
5,deadloop,68953630,0.0110495,34476815,0.00552475,121
,,,,,,
,,,overall,39625122.1,0.002925181,32.85714286
,,,livelock,41688282.27,0.003474921,61.09090909
,,,deadloop,33098386,0.002542179,36.18181818
5,livelock,83352674,0.0160728,41676337,0.0080364,69,[{"id":986,"isstartcaller":true,"calls":[670,670]},{"id":545,"isstartcaller":true,"calls":[915,670]},{"id":915,"isstartcaller":false,"calls":[670]},{"id":670,"isstartcaller":false,"calls":[961]},{"id":961,"isstartcaller":false,"calls":[]}]
5,deadloop,65986008,0.0063056,32993004,0.0031528,31,[{"id":459,"isstartcaller":true,"calls":[889,484]},{"id":341,"isstartcaller":false,"calls":[910,910]},{"id":484,"isstartcaller":false,"calls":[889,889]},{"id":910,"isstartcaller":false,"calls":[889,889]},{"id":889,"isstartcaller":false,"calls":[341]}]
5,livelock,166154660,0.0124206,41538665,0.00310515,42,[{"id":918,"isstartcaller":true,"calls":[617]},{"id":553,"isstartcaller":false,"calls":[617,615]},{"id":615,"isstartcaller":false,"calls":[617]},{"id":617,"isstartcaller":false,"calls":[]},{"id":103,"isstartcaller":true,"calls":[553,617]}]
5,normal,165535964,0.0110449,41383991,0.002761225,16,[{"id":840,"isstartcaller":false,"calls":[]},{"id":339,"isstartcaller":false,"calls":[624]},{"id":624,"isstartcaller":true,"calls":[840,237]},{"id":237,"isstartcaller":false,"calls":[607,339]},{"id":607,"isstartcaller":false,"calls":[]}]
5,livelock,125047030,0.010195,41682343,0.0033983334,63,[{"id":475,"isstartcaller":true,"calls":[]},{"id":473,"isstartcaller":false,"calls":[]},{"id":122,"isstartcaller":true,"calls":[423]},{"id":311,"isstartcaller":true,"calls":[473]},{"id":423,"isstartcaller":false,"calls":[473,473]}]
5,normal,207296788,0.0147372,41459358,0.00294744,22,[{"id":853,"isstartcaller":true,"calls":[510,505]},{"id":505,"isstartcaller":false,"calls":[353,353]},{"id":280,"isstartcaller":true,"calls":[]},{"id":353,"isstartcaller":false,"calls":[]},{"id":510,"isstartcaller":false,"calls":[353]}]
5,livelock,41408570,0.0028198,41408570,0.0028198,22,[{"id":707,"isstartcaller":true,"calls":[121,923]},{"id":121,"isstartcaller":false,"calls":[292]},{"id":923,"isstartcaller":false,"calls":[]},{"id":292,"isstartcaller":false,"calls":[240]},{"id":240,"isstartcaller":false,"calls":[707,707]}]
5,normal,124176550,0.0082993,41392183,0.0027664334,19,[{"id":821,"isstartcaller":true,"calls":[257,279]},{"id":941,"isstartcaller":false,"calls":[547]},{"id":547,"isstartcaller":false,"calls":[257]},{"id":257,"isstartcaller":false,"calls":[]},{"id":279,"isstartcaller":false,"calls":[547,941]}]
5,normal,165634274,0.010802699,41408568,0.0027006748,18,[{"id":985,"isstartcaller":false,"calls":[979]},{"id":979,"isstartcaller":false,"calls":[]},{"id":700,"isstartcaller":false,"calls":[]},{"id":130,"isstartcaller":true,"calls":[985,956]},{"id":956,"isstartcaller":false,"calls":[700,700]}]
5,normal,124233864,0.0085792,41411288,0.0028597333,19,[{"id":989,"isstartcaller":false,"calls":[]},{"id":226,"isstartcaller":false,"calls":[]},{"id":511,"isstartcaller":false,"calls":[470,470]},{"id":470,"isstartcaller":false,"calls":[989,226]},{"id":432,"isstartcaller":true,"calls":[511,470]}]
5,livelock,166396094,0.0124781,41599024,0.003119525,45,[{"id":473,"isstartcaller":false,"calls":[]},{"id":530,"isstartcaller":true,"calls":[961,473]},{"id":678,"isstartcaller":true,"calls":[]},{"id":795,"isstartcaller":true,"calls":[473]},{"id":961,"isstartcaller":false,"calls":[473]}]
5,deadloop,71901336,0.018570699,35950668,0.009285349,185,[{"id":475,"isstartcaller":false,"calls":[961,961]},{"id":896,"isstartcaller":true,"calls":[475,475]},{"id":978,"isstartcaller":true,"calls":[475]},{"id":961,"isstartcaller":false,"calls":[940]},{"id":940,"isstartcaller":false,"calls":[475,475]}]
5,deadloop,65717792,0.0039635003,32858896,0.0019817501,21,[{"id":792,"isstartcaller":false,"calls":[846]},{"id":846,"isstartcaller":false,"calls":[265]},{"id":265,"isstartcaller":false,"calls":[792]},{"id":130,"isstartcaller":false,"calls":[]},{"id":412,"isstartcaller":true,"calls":[130,265]}]
