§Õ≈—¡πÏ1,st,§Õ≈—¡πÏ3,§Õ≈—¡πÏ4,§Õ≈—¡πÏ5,§Õ≈—¡πÏ6,§Õ≈—¡πÏ7
10,normal,761131980,0.0641926,42285110,0.003566256,4
10,livelock,43382810,0.0060815,43382810,0.0060815,131
10,livelock,1293376368,1.1836952,68072440,0.062299747,2121
10,livelock,1978943376,5.6724863,89951972,0.25784028,7332
10,livelock,1574074918,1.6651653,74955948,0.07929359,2673
10,livelock,999473498,0.33395857,47593976,0.01590279,576
10,livelock,1061484306,0.63281465,55867595,0.033306032,862
10,livelock,473106952,0.059338804,43009723,0.005394437,114
10,livelock,1668060682,2.0045543,87792667,0.10550286,2603
10,livelock,784805832,0.2130506,46165049,0.012532389,369
10,normal,593400396,0.054012705,42385743,0.00385805,16
10,livelock,648727368,0.0876924,43248491,0.00584616,102
10,normal,993014990,0.2229495,45137045,0.010134068,268
10,normal,1353909536,0.11718721,42309673,0.0036621,7
10,livelock,702456446,0.1150462,43903528,0.007190388,254
10,livelock,886284882,0.36331317,49238049,0.020184064,757
10,normal,596136718,0.062131,42581194,0.004437929,40
10,livelock,84873294,0.0075465,42436647,0.00377325,43
10,deadloop,102279470,0.0104916,34093157,0.0034972,69
10,livelock,974610240,0.2807433,46410011,0.013368729,438
10,normal,680133498,0.065802194,42508344,0.004112637,31
10,livelock,86618160,0.012188001,43309080,0.006094,166
10,livelock,889339110,0.3672303,49407728,0.020401683,764
10,livelock,550382758,0.5005827,68797845,0.06257284,1434
10,livelock,1328806662,1.0703843,63276508,0.05097068,1436
10,livelock,1088877178,0.5280653,51851294,0.025145968,813
10,livelock,742748300,0.2110096,46421769,0.0131881,479
10,livelock,1817374816,2.8617253,95651306,0.15061712,5097
10,livelock,1412338062,1.315288,70616903,0.0657644,1699
10,livelock,1696012492,2.944118,89263815,0.15495358,3725
10,livelock,1996700408,2.699765,99835020,0.13498825,6035
10,normal,1029876966,0.22042441,44777259,0.00958367,220
10,livelock,1756136032,2.0973735,83625525,0.09987493,4292
10,livelock,1020995728,0.49529752,51049786,0.024764877,953
10,livelock,2193960916,6.171563,95389605,0.26832885,7354
10,normal,637709114,0.063234404,42513941,0.004215627,41
