§Õ≈—¡πÏ1,st,§Õ≈—¡πÏ3,§Õ≈—¡πÏ4,§Õ≈—¡πÏ5,§Õ≈—¡πÏ6,§Õ≈—¡πÏ7
20,normal,2722691128,0.8367128,56722732,0.017431516,44
20,normal,2906818168,0.9263824,56996435,0.01816436,74
20,normal,2914868874,0.90312517,57154292,0.017708337,84
20,livelock,3988104100,16.599047,78198120,0.3254715,9602
20,livelock,305313090,0.1385753,61062618,0.02771506,431
20,normal,2874536714,0.7993436,56363465,0.015673405,30
20,normal,3027245690,1.3112445,60544914,0.026224889,380
20,normal,2963627976,1.0292581,58110352,0.020181531,161
20,deadloop,2313869640,5.652096,115693482,0.28260478,4932
20,normal,2920816604,1.1768111,59608502,0.024016554,278
20,deadloop,302889600,0.5083658,151444800,0.2541829,938
20,livelock,2960147134,1.4135648,61669732,0.029449267,435
20,normal,5638455836,1.5789583,56384558,0.015789583,36
20,livelock,141864000,0.1031661,70932000,0.05158305,1142
20,livelock,4868390486,6.5357265,103582776,0.13905801,4029
20,normal,2661462406,0.806067,56626860,0.017150361,47
20,normal,2713407116,0.77945334,56529315,0.016238611,38
20,livelock,2667240258,1.5366584,65054640,0.037479475,756
20,livelock,63707190,0.0348597,63707190,0.0348597,612
20,livelock,4427087810,16.039053,86805643,0.31449124,9248
20,livelock,3498485654,2.3358192,68597758,0.045800377,986
20,livelock,4888630056,5.840774,97772601,0.11681548,3188
20,livelock,4714166672,5.58136,98211806,0.11627833,3167
20,livelock,4086304126,12.443534,97292955,0.2962746,8708
20,normal,2839812814,0.8859023,56796256,0.017718045,78
20,normal,2954052822,1.1354144,59081056,0.022708287,247
20,normal,2843467750,0.8662155,56869355,0.01732431,52
20,livelock,3755925992,3.0993986,75118520,0.061987974,1477
20,livelock,3978998340,19.67321,78019575,0.38574922,11400
20,livelock,2903457790,1.2683893,60488704,0.026424779,340
20,normal,2833603358,0.830307,56672067,0.01660614,49
20,livelock,376720820,0.18938431,62786803,0.031564053,501
20,normal,2905980860,1.0183583,58119617,0.020367168,160
20,normal,2765908180,0.7820093,56447106,0.015959373,23
20,normal,2852944326,0.9137924,57058887,0.018275848,69
20,normal,2900711874,0.88484955,56876703,0.017349992,66
20,livelock,191191280,0.2287039,95595640,0.11435195,3180
20,livelock,4935222308,27.780373,98704446,0.55560744,16468
20,livelock,4235247352,4.555689,90111646,0.09692955,2587
,,,overall,72149075.05,0.094347873,2206.230769
,,,livelock,79669114.37,0.14778374,4118.789474
,,,deadloop,133569141,0.26839384,2935
20,livelock,2906264442,1.375666,60547176,0.028659709,358
20,livelock,355323480,0.1418505,59220580,0.02364175,245
20,livelock,9546960292,63.01139,207542615,1.3698128,38054
20,normal,2831573110,0.83199096,56631462,0.01663982,50
20,livelock,481764036,0.21327439,60220504,0.026659299,296
20,livelock,3429521692,3.2908378,77943675,0.07479177,1549
20,livelock,539253106,0.6590225,89875518,0.109837085,2654
20,normal,5734969808,1.6033541,56225194,0.015719159,11
20,livelock,2758217186,0.93685883,57462858,0.019517893,127
20,normal,2916447008,0.9772284,57185235,0.019161342,85
20,normal,2758323334,0.91838473,57465069,0.019133015,98
20,livelock,802740696,0.9304439,89193411,0.103382654,2611
20,normal,3013335860,1.3507756,60266717,0.027015513,320
20,normal,2766309430,0.79197824,56455294,0.016162822,23
20,livelock,461818230,0.30056378,65974033,0.042937685,776
20,normal,2815893582,0.79571354,56317872,0.01591427,17
20,normal,2830467664,1.0068177,57764646,0.0205473,119
20,livelock,640103104,0.75899047,91443301,0.10842721,2639
20,normal,2850849584,1.0383754,58180604,0.021191334,178
20,livelock,9404066614,61.000427,188081332,1.2200085,33176
20,normal,2879804180,0.87206775,56466749,0.017099367,33
20,livelock,65648536,0.0396807,65648536,0.0396807,747
20,deadloop,824662860,0.29508868,48509580,0.017358158,55
20,livelock,459847884,0.82545197,153282628,0.27515066,7496
20,normal,2878863786,0.8267666,56448310,0.01621111,36
20,livelock,4328137684,11.259733,86562754,0.22519466,5620
20,livelock,3777324334,3.8651707,82115746,0.08402545,2079
20,normal,2744774750,0.88925284,57182807,0.018526101,109
20,livelock,3236054290,2.260681,67417798,0.04709752,901
20,normal,5733017036,1.7073076,56206049,0.01673831,11
20,livelock,2660344694,1.0712961,59118771,0.02380658,232
20,livelock,323533032,0.2015019,64706606,0.04030038,686
20,normal,2765637476,0.80409294,56441581,0.01641006,23
20,normal,5543445928,1.6392092,56565775,0.016726624,59
20,normal,2917348896,0.9485572,57202920,0.01859916,87
20,normal,2910516066,0.96630496,57068942,0.018947156,67
20,normal,2851389978,1.0574071,58191632,0.021579737,152
20,livelock,4198614802,16.095066,85686016,0.32847074,8360
20,livelock,1110315374,4.70501,79308241,0.33607215,9179
20,livelock,2957739402,1.3248335,60362029,0.02703742,356
