6;normal;394808168;1269;210;0.058868997;32900681;0.0049057496;17;[{"id":101,"isstartcaller":false},{"id":102,"isstartcaller":true,"calls":[104]},{"id":103,"isstartcaller":false},{"id":104,"isstartcaller":false,"calls":[108]},{"id":106,"isstartcaller":false,"calls":[102]},{"id":108,"isstartcaller":false,"calls":[106]}]
8;normal;828218842;1750;4246;0.1932232;34509118;0.008050966;176;[{"id":261,"isstartcaller":true,"calls":[264,265]},{"id":262,"isstartcaller":true,"calls":[264]},{"id":263,"isstartcaller":false},{"id":264,"isstartcaller":false},{"id":265,"isstartcaller":false},{"id":266,"isstartcaller":false},{"id":267,"isstartcaller":true,"calls":[264,263,266,268]},{"id":268,"isstartcaller":false}]
6;livelock;572593044;1468;6420;0.2069983;35787065;0.012937394;401;[{"id":211,"isstartcaller":true,"calls":[212,214,215]},{"id":212,"isstartcaller":false},{"id":213,"isstartcaller":true,"calls":[211]},{"id":214,"isstartcaller":false},{"id":215,"isstartcaller":false},{"id":216,"isstartcaller":true,"calls":[211]}]
5;normal;328384208;963;121;0.054554;32838421;0.0054554;12;[{"id":221,"isstartcaller":true,"calls":[223,222]},{"id":222,"isstartcaller":false},{"id":223,"isstartcaller":false,"calls":[225]},{"id":224,"isstartcaller":false},{"id":225,"isstartcaller":false}]
6;normal;395266696;1193;219;0.061300404;32938891;0.005108367;18;[{"id":271,"isstartcaller":true,"calls":[274,272,273]},{"id":272,"isstartcaller":false,"calls":[276]},{"id":273,"isstartcaller":false,"calls":[275]},{"id":274,"isstartcaller":false},{"id":275,"isstartcaller":false},{"id":276,"isstartcaller":false}]
5;livelock;397115938;1178;809;0.063023604;33092995;0.005251967;67;[{"id":241,"isstartcaller":true,"calls":[244,242]},{"id":242,"isstartcaller":false,"calls":[245]},{"id":243,"isstartcaller":true,"calls":[241]},{"id":244,"isstartcaller":false},{"id":245,"isstartcaller":false}]
5;normal;415651672;1276;3347;0.14450309;34637639;0.012041924;278;[{"id":231,"isstartcaller":true,"calls":[235]},{"id":232,"isstartcaller":true,"calls":[233,234]},{"id":233,"isstartcaller":false,"calls":[231]},{"id":234,"isstartcaller":true,"calls":[231]},{"id":235,"isstartcaller":false}]
7;normal;664955560;1597;6554;0.26504982;36941976;0.014724989;364;[{"id":281,"isstartcaller":true},{"id":282,"isstartcaller":false,"calls":[281]},{"id":283,"isstartcaller":false},{"id":284,"isstartcaller":true,"calls":[285]},{"id":285,"isstartcaller":true,"calls":[281]},{"id":286,"isstartcaller":true,"calls":[281]},{"id":287,"isstartcaller":true,"calls":[283]}]
5;normal;328521288;961;166;0.02804;32852129;0.002804;16;[{"id":101,"isstartcaller":false},{"id":102,"isstartcaller":true,"calls":[107]},{"id":103,"isstartcaller":false},{"id":106,"isstartcaller":false,"calls":[102]},{"id":107,"isstartcaller":false,"calls":[101,106]}]
6;normal;394784312;1226;210;0.077099405;32898693;0.0064249504;17;[{"id":101,"isstartcaller":false},{"id":102,"isstartcaller":true,"calls":[104]},{"id":103,"isstartcaller":false},{"id":104,"isstartcaller":false,"calls":[108]},{"id":106,"isstartcaller":false,"calls":[102]},{"id":108,"isstartcaller":false,"calls":[106]}]
8;normal;828229762;1647;4246;0.198144;34509573;0.0082560005;176;[{"id":261,"isstartcaller":true,"calls":[264,265]},{"id":262,"isstartcaller":true,"calls":[264]},{"id":263,"isstartcaller":false},{"id":264,"isstartcaller":false},{"id":265,"isstartcaller":false},{"id":266,"isstartcaller":false},{"id":267,"isstartcaller":true,"calls":[264,263,266,268]},{"id":268,"isstartcaller":false}]
6;livelock;572596330;1386;6420;0.22260262;35787271;0.013912664;401;[{"id":211,"isstartcaller":true,"calls":[212,214,215]},{"id":212,"isstartcaller":false},{"id":213,"isstartcaller":true,"calls":[211]},{"id":214,"isstartcaller":false},{"id":215,"isstartcaller":false},{"id":216,"isstartcaller":true,"calls":[211]}]
5;normal;328407792;983;121;0.0443926;32840779;0.00443926;12;[{"id":221,"isstartcaller":true,"calls":[223,222]},{"id":222,"isstartcaller":false},{"id":223,"isstartcaller":false,"calls":[225]},{"id":224,"isstartcaller":false},{"id":225,"isstartcaller":false}]
6;normal;395266472;1125;219;0.073750794;32938873;0.0061458996;18;[{"id":271,"isstartcaller":true,"calls":[274,272,273]},{"id":272,"isstartcaller":false,"calls":[276]},{"id":273,"isstartcaller":false,"calls":[275]},{"id":274,"isstartcaller":false},{"id":275,"isstartcaller":false},{"id":276,"isstartcaller":false}]
5;livelock;397103048;1131;809;0.09909359;33091921;0.0082578;67;[{"id":241,"isstartcaller":true,"calls":[244,242]},{"id":242,"isstartcaller":false,"calls":[245]},{"id":243,"isstartcaller":true,"calls":[241]},{"id":244,"isstartcaller":false},{"id":245,"isstartcaller":false}]
5;normal;415666452;1144;3347;0.1610817;34638871;0.013423475;278;[{"id":231,"isstartcaller":true,"calls":[235]},{"id":232,"isstartcaller":true,"calls":[233,234]},{"id":233,"isstartcaller":false,"calls":[231]},{"id":234,"isstartcaller":true,"calls":[231]},{"id":235,"isstartcaller":false}]
7;normal;664970172;1493;6554;0.2762637;36942787;0.015347984;364;[{"id":281,"isstartcaller":true},{"id":282,"isstartcaller":false,"calls":[281]},{"id":283,"isstartcaller":false},{"id":284,"isstartcaller":true,"calls":[285]},{"id":285,"isstartcaller":true,"calls":[281]},{"id":286,"isstartcaller":true,"calls":[281]},{"id":287,"isstartcaller":true,"calls":[283]}]
